bacteria	Curtobacterium_sp._YR515	GCF_900113095.1_IMG-taxon_2616644843_annotated_assembly
bacteria	Aureimonas_sp._Leaf324	GCF_001423245.1_Leaf324
bacteria	Alkalibacterium_sp._AK22	GCF_000585255.1_AlkLun1.0
bacteria	Bartonella_doshiae	GCF_000278155.1_Bart_dosh_NCTC_12862_R18_V1
bacteria	Chiayiivirga_flava	GCF_014202825.1_ASM1420282v1
bacteria	Aster_yellows_witches_-broom_phytoplasma	GCF_000012225.1_ASM1222v1
bacteria	Halonatronum_saccharophilum	GCF_000517025.1_ASM51702v1
bacteria	Acinetobacter_halotolerans	GCF_004208515.1_ASM420851v1
bacteria	Gordonia_namibiensis	GCF_000298235.1_ASM29823v1
bacteria	Bacillus_sp._7884-1	GCF_002272245.1_assembly-7884-1_v1
bacteria	Fuerstia_marisgermanicae	GCF_001983935.1_ASM198393v1
bacteria	Frischella_perrara	GCF_000807275.1_ASM80727v1
bacteria	Acinetobacter_sp._WCHAc060042	GCF_003231195.1_ASM323119v1
bacteria	Buttiauxella_sp._JUb87	GCF_004361975.1_ASM436197v1
bacteria	Bradyrhizobium_sp._LTSP857	GCF_000938285.1_ASM93828v1
bacteria	Grimontia_sedimenti	GCF_011045095.1_ASM1104509v1
bacteria	Frankia_sp._EI5c	GCF_001636565.1_ASM163656v1
bacteria	Bosea_sp._SSUT16	GCF_014764685.1_ASM1476468v1
bacteria	Kosmotoga_olearia	GCF_000023325.1_ASM2332v1
bacteria	Dielma_fastidiosa	GCF_003475485.1_ASM347548v1
bacteria	Dyadobacter_tibetensis	GCF_000566685.1_Dyadobacter_tibetensis_Y620-1
bacteria	Candidatus_Babela_massiliensis	GCF_000513475.1_Bbla
bacteria	Campylobacter_sp._BCW_6872	GCF_001762345.1_ASM176234v1
bacteria	Cellulomonas_sp._HD19AZ1	GCF_004535805.1_ASM453580v1
bacteria	Gemmobacter_intermedius	GCF_004054105.1_ASM405410v1
bacteria	Janthinobacterium_sp._K2E3	GCF_014200725.1_ASM1420072v1
bacteria	Klebsiella_sp._Kd70_TUC-EEAOC	GCF_002880715.1_ASM288071v1
bacteria	Georgenia_subflava	GCF_009193155.1_ASM919315v1
bacteria	Acinetobacter_sp._YH12142	GCF_013418435.1_ASM1341843v1
